geography,year,area_burned_ha
Saskatchewan,2000,140806.17
Saskatchewan,2001,203428.42
Saskatchewan,2002,879610.04
Saskatchewan,2003,125663.75
Saskatchewan,2004,258131.61
Saskatchewan,2005,213773.46
Saskatchewan,2006,1203726.54
Saskatchewan,2007,212873.12
Saskatchewan,2008,1130177.23
Saskatchewan,2009,37559.37
Saskatchewan,2010,1734807.18
Saskatchewan,2011,343719.99
Saskatchewan,2012,227511.5
Saskatchewan,2013,363837.1
Saskatchewan,2014,342783.48
Saskatchewan,2015,1758733.04942
Saskatchewan,2016,254764.4
Saskatchewan,2017,398997.7
Saskatchewan,2018,155696.8
Saskatchewan,2019,48153.6
Saskatchewan,2020,42950.0
Saskatchewan,2021,956060.9
Saskatchewan,2022,265573.0
Saskatchewan,2023,1883006.2
Saskatchewan,2024,936676.3
Saskatchewan,2025,2982279.5
Yukon,1959,39498.46
Yukon,1960,8878.31
Yukon,1961,44037.1
Yukon,1962,13381.57
Yukon,1963,17506.18
Yukon,1964,192.66
Yukon,1965,18000.0
Yukon,1966,191648.16
Yukon,1967,123974.63
Yukon,1968,11577.54
Yukon,1969,618109.02
Yukon,1970,99.97
Yukon,1971,301729.67
Yukon,1972,70588.67
Yukon,1973,1450.12
Yukon,1974,3465.21
Yukon,1975,31554.56
Yukon,1976,59143.2
Yukon,1977,312469.39
Yukon,1978,7482.93
Yukon,1979,7388.5
Yukon,1980,154204.77
Yukon,1981,14196.81
Yukon,1982,240111.44
Yukon,1983,54836.96
Yukon,1984,23229.2
Yukon,1985,19455.49
Yukon,1986,101697.88
Yukon,1987,88901.46
Yukon,1988,6614.39
Yukon,1989,383188.13
Yukon,1990,182891.92
Yukon,1991,120270.82
Yukon,1992,37815.07
Yukon,1993,115104.31
Yukon,1994,421710.39
Yukon,1995,261882.24
Yukon,1996,91067.13
Yukon,1997,11470.05
Yukon,1998,343731.4
Yukon,1999,194816.48
Yukon,2000,8015.86
Yukon,2001,17334.48
Yukon,2002,36204.11
Yukon,2003,48785.33
Yukon,2004,1719664.09
Yukon,2005,187438.34
Yukon,2006,95033.34
Yukon,2007,37707.76
Yukon,2008,13067.88
Yukon,2009,230512.35
Yukon,2010,146963.17
Yukon,2011,40464.33
Yukon,2012,58280.2
Yukon,2013,198313.79
Yukon,2014,3160.594
Yukon,2015,169841.61
Yukon,2016,21537.4
Yukon,2017,399280.15
Yukon,2018,80585.49
Yukon,2019,256036.62
Yukon,2020,3463.92
Yukon,2021,14275.12
Yukon,2022,170367.27
Yukon,2023,528225.0
Yukon,2024,209848.3
Yukon,2025,177701.51
