city,season,year,temp,temp_max
Calgary,Summer,1978,15.1,21.8
Calgary,Summer,1979,15.5,23.1
Calgary,Summer,1980,14.2,20.4
Calgary,Summer,1981,15.1,21.6
Calgary,Summer,1982,15.1,21.5
Calgary,Summer,1983,16.3,23.2
Calgary,Summer,1984,16.3,23.7
Calgary,Summer,1985,15.4,22.4
Calgary,Summer,1986,15.5,21.9
Calgary,Summer,1987,15.3,21.6
Calgary,Summer,1988,16.0,22.4
Calgary,Summer,1989,15.9,22.2
Calgary,Summer,1990,15.7,21.6
Calgary,Summer,1991,15.9,22.5
Calgary,Summer,1992,14.5,20.2
Calgary,Summer,1993,13.4,18.9
Calgary,Summer,1994,15.7,22.4
Calgary,Summer,1995,14.6,20.8
Calgary,Summer,1996,15.6,22.9
Calgary,Summer,1997,15.3,22.1
Calgary,Summer,1998,16.1,22.7
Calgary,Summer,1999,13.9,20.2
Calgary,Summer,2000,14.9,22.2
Calgary,Summer,2001,15.8,23.1
Calgary,Summer,2002,15.7,22.8
Calgary,Summer,2003,16.5,23.7
Calgary,Summer,2004,15.3,21.4
Calgary,Summer,2005,14.3,20.2
Calgary,Summer,2006,16.4,23.1
Calgary,Summer,2007,15.9,22.3
Calgary,Summer,2008,15.5,21.6
Calgary,Summer,2009,15.4,21.6
Calgary,Summer,2010,15.0,20.6
Calgary,Summer,2011,15.4,21.3
Calgary,Summer,2012,16.6,22.7
