year,geo,age_group,gender,level,pct
2007,Quebec,55–64,Total,Below high school,28.0
2008,Quebec,55–64,Total,Below high school,25.0
2009,Quebec,55–64,Total,Below high school,25.0
2010,Quebec,55–64,Total,Below high school,23.0
2011,Quebec,55–64,Total,Below high school,22.0
2012,Quebec,55–64,Total,Below high school,20.0
2013,Quebec,55–64,Total,Below high school,21.0
2014,Quebec,55–64,Total,Below high school,18.0
2015,Quebec,55–64,Total,Below high school,20.0
2016,Quebec,55–64,Total,Below high school,20.0
2017,Quebec,55–64,Total,Below high school,18.0
2018,Quebec,55–64,Total,Below high school,17.0
2019,Quebec,55–64,Total,Below high school,16.0
2020,Quebec,55–64,Total,Below high school,16.0
2021,Quebec,55–64,Total,Below high school,15.0
2022,Quebec,55–64,Total,Below high school,13.0
2023,Quebec,55–64,Total,Below high school,13.0
2024,Quebec,55–64,Total,Below high school,13.0
2025,Quebec,55–64,Total,Below high school,13.0
2000,Quebec,55–64,Total,College/CEGEP,11.0
2001,Quebec,55–64,Total,College/CEGEP,13.0
2002,Quebec,55–64,Total,College/CEGEP,13.0
2003,Quebec,55–64,Total,College/CEGEP,13.0
2004,Quebec,55–64,Total,College/CEGEP,13.0
2005,Quebec,55–64,Total,College/CEGEP,15.0
2006,Quebec,55–64,Total,College/CEGEP,16.0
2007,Quebec,55–64,Total,College/CEGEP,15.0
2008,Quebec,55–64,Total,College/CEGEP,16.0
2009,Quebec,55–64,Total,College/CEGEP,17.0
2010,Quebec,55–64,Total,College/CEGEP,18.0
2011,Quebec,55–64,Total,College/CEGEP,19.0
2012,Quebec,55–64,Total,College/CEGEP,21.0
2013,Quebec,55–64,Total,College/CEGEP,19.0
2014,Quebec,55–64,Total,College/CEGEP,21.0
2015,Quebec,55–64,Total,College/CEGEP,21.0
2016,Quebec,55–64,Total,College/CEGEP,21.0
2017,Quebec,55–64,Total,College/CEGEP,21.0
2018,Quebec,55–64,Total,College/CEGEP,23.0
2019,Quebec,55–64,Total,College/CEGEP,24.0
2020,Quebec,55–64,Total,College/CEGEP,24.0
2021,Quebec,55–64,Total,College/CEGEP,24.0
2022,Quebec,55–64,Total,College/CEGEP,25.0
