ctuid,name,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,population
5350577.02,5350577.02,20.2,6.0,11.0,25.9,36.3,0.4,0.0,0.0,0.4,5260
5350577.03,5350577.03,20.7,7.2,15.4,22.5,32.5,1.2,0.0,0.0,0.3,6085
5350577.04,5350577.04,18.9,7.1,16.5,21.8,32.9,2.4,0.0,0.0,0.4,6935
5350577.05,5350577.05,17.2,4.5,17.5,34.7,24.5,1.4,0.0,0.0,0.0,5235
5350577.06,5350577.06,14.0,5.8,14.1,25.9,38.7,1.5,0.0,0.0,0.0,5850
5350577.07,5350577.07,35.4,7.8,9.8,17.2,28.2,1.6,0.0,0.0,0.0,3740
5350577.08,5350577.08,42.6,9.4,9.1,20.0,18.0,0.3,0.5,0.0,0.0,4405
5350577.09,5350577.09,34.8,12.6,10.7,33.3,7.4,0.3,0.0,0.0,1.0,3375
5350585.02,5350585.02,66.5,13.3,0.5,1.5,16.8,0.5,0.3,0.0,0.5,6275
5350585.03,5350585.03,69.8,25.3,0.8,0.9,1.7,0.4,0.5,0.0,0.6,5430
5350585.05,5350585.05,76.2,20.9,0.5,0.2,1.0,0.0,0.2,0.0,0.9,6875
5350585.07,5350585.07,60.9,21.7,2.0,2.0,12.0,0.6,0.7,0.0,0.1,7520
5350585.08,5350585.08,59.2,23.5,1.7,5.2,9.6,0.2,0.0,0.0,0.3,4335
5350585.09,5350585.09,78.7,17.2,0.2,1.4,1.6,0.4,0.0,0.0,0.3,5630
5350585.10,5350585.10,80.0,13.5,1.5,1.6,2.3,0.9,0.0,0.0,0.0,4655
5350586.02,5350586.02,51.8,23.0,1.0,2.7,21.5,0.0,0.0,0.0,0.0,3110
5350586.03,5350586.03,35.8,12.7,2.0,5.3,43.0,0.2,0.3,0.0,0.8,4335
5350586.04,5350586.04,37.1,8.6,4.7,16.3,31.5,1.1,0.3,0.0,0.0,6595
5350586.05,5350586.05,39.4,12.4,6.1,12.5,28.8,0.5,0.0,0.0,0.1,9650
5350587.01,5350587.01,59.1,26.1,1.6,3.0,8.9,0.2,1.1,0.0,0.0,6020
5350587.02,5350587.02,53.5,38.4,0.8,1.5,3.6,0.6,0.7,0.0,0.9,5645
5350590.00,5350590.00,50.2,46.5,0.7,0.0,0.0,0.0,0.8,0.0,0.7,5060
5350591.01,5350591.01,55.4,40.3,0.3,3.1,0.4,0.0,0.2,0.0,0.2,5465
5350591.02,5350591.02,53.8,42.9,1.1,1.0,0.2,0.0,0.0,0.0,0.8,5220
5350592.01,5350592.01,54.6,40.0,2.1,1.6,0.7,0.1,0.1,0.0,0.6,6780
5350592.02,5350592.02,54.5,39.5,0.9,2.5,2.4,0.0,0.1,0.0,0.0,7170
5350593.01,5350593.01,50.6,46.1,2.2,0.0,0.0,0.3,0.3,0.0,0.0,3180
5350593.02,5350593.02,61.3,34.8,0.0,0.0,0.0,0.6,1.8,0.0,0.9,1665
5350593.03,5350593.03,66.1,25.6,0.0,3.1,4.7,0.0,0.0,0.0,0.0,1800
5350593.04,5350593.04,57.1,24.4,4.8,1.6,11.7,0.0,0.0,0.0,0.0,2730
5350600.01,5350600.01,53.9,36.0,4.5,2.2,1.0,1.0,1.0,0.0,0.5,6270
5350600.02,5350600.02,49.5,27.9,9.9,6.0,2.7,2.9,0.0,0.0,0.9,6735
5350601.00,5350601.00,46.8,37.9,8.1,1.8,1.3,1.1,1.8,0.0,1.3,4285
5350602.00,5350602.00,61.8,33.3,1.2,1.4,0.7,0.2,0.7,0.0,0.8,4490
5350603.00,5350603.00,51.9,34.0,7.2,2.7,0.9,0.3,1.9,0.0,0.9,5885
5350604.00,5350604.00,65.1,28.5,2.1,1.4,0.0,0.7,0.5,0.0,1.7,2120
5350605.00,5350605.00,63.4,28.1,3.9,1.8,0.0,1.0,1.0,0.0,0.6,2540
5350606.00,5350606.00,54.4,29.1,10.1,2.6,2.1,0.6,0.5,0.0,0.6,5480
5350607.00,5350607.00,58.3,30.4,8.4,2.6,0.3,0.0,0.0,0.0,0.0,3105
