year,dimension,category,employees
2024,Tenure,Unknown,71
2025,Tenure,Casual,4210
2025,Tenure,Indeterminate,306872
2025,Tenure,Student,7370
2025,Tenure,Term,39468
2025,Tenure,Unknown,45
2026,Tenure,Casual,3221
2026,Tenure,Indeterminate,300470
2026,Tenure,Student,5907
2026,Tenure,Term,35648
2026,Tenure,Unknown,36
