province,year,expense,net_op_balance,revenue,net_fin_worth,gdp,revenue_pct_gdp,expense_pct_gdp,balance_pct_gdp,net_debt_pct_gdp
Prince Edward Island,2008,1502.0,-72.0,1430.0,-1332.0,4761.0,30.03570678428901,31.54799411888259,-1.5122873345935728,27.977315689981097
Prince Edward Island,2009,1674.0,-138.0,1537.0,-1487.0,4937.0,31.13226655863885,33.907231112011345,-2.795219769090541,30.11950577273648
Prince Edward Island,2010,1691.0,-133.0,1558.0,-1547.0,5231.0,29.783980118524184,32.32651500669088,-2.5425348881666987,29.573695278149494
Prince Edward Island,2011,1756.0,-172.0,1584.0,-1826.0,5432.0,29.16053019145803,32.326951399116346,-3.166421207658321,33.615611192930785
Prince Edward Island,2012,1753.0,-136.0,1616.0,-1885.0,5586.0,28.929466523451485,31.38202649480845,-2.434658073755818,33.74507697815968
Prince Edward Island,2013,1791.0,-135.0,1656.0,-1845.0,5766.0,28.720083246618106,31.06139438085328,-2.3413111342351716,31.997918834547345
Prince Edward Island,2014,1768.0,-43.0,1725.0,-2151.0,5858.0,29.446910208262207,30.180949129395696,-0.7340389211334927,36.71901672925914
Prince Edward Island,2015,1790.0,-45.0,1745.0,-1997.0,6088.0,28.66294349540079,29.40210249671485,-0.7391590013140605,32.802233902759525
Prince Edward Island,2016,1863.0,-9.0,1854.0,-1885.0,6376.0,29.07779171894605,29.218946047678795,-0.1411543287327478,29.563989962358843
Prince Edward Island,2017,1976.0,6.0,1982.0,-1873.0,6790.0,29.189985272459502,29.101620029455084,0.08836524300441827,27.584683357879236
Prince Edward Island,2018,2088.0,-22.0,2066.0,-2011.0,6983.0,29.586137763139053,29.901188600887867,-0.31505083774881854,28.79851066876701
Prince Edward Island,2019,2240.0,-49.0,2191.0,-2103.0,7440.0,29.448924731182796,30.107526881720432,-0.6586021505376344,28.266129032258064
Prince Edward Island,2020,2421.0,-42.0,2380.0,-2083.0,7461.0,31.899209221284007,32.448733413751505,-0.5629272215520708,27.918509583165797
Prince Edward Island,2021,2613.0,33.0,2646.0,-1903.0,8567.0,30.88595774483483,30.500758725341427,0.38519901949340496,22.213143457453015
Prince Edward Island,2022,2903.0,-29.0,2874.0,-1870.0,9499.0,30.2558164017265,30.561111695967995,-0.3052952942414991,19.68628276660701
Prince Edward Island,2023,3069.0,-67.0,3001.0,-2046.0,10134.0,29.613183343201104,30.284191829484904,-0.6611407144266824,20.1894612196566
Prince Edward Island,2024,3326.0,-242.0,3084.0,-2331.0,10889.0,28.32215997795941,30.54458627973184,-2.222426301772431,21.40692441913858
Quebec,2008,85534.0,-2611.0,82923.0,-110389.0,315382.0,26.292876575074036,27.12076148924162,-0.8278849141675809,35.00168050174074
Quebec,2009,88495.0,-4214.0,84281.0,-118186.0,315540.0,26.710084299930276,28.045572669075234,-1.3354883691449577,37.45515624009634
