year,fiscal_year,agency,agency_full,nominal
2014,2014/15,Natural Resources Canada,Natural Resources Canada,288.0
2014,2014/15,National Defence,National Defence,263.0
2014,2014/15,Canadian Space Agency,Canadian Space Agency,250.0
2014,2014/15,Environment & Climate Change,Environment and Climate Change Canada,116.0
2014,2014/15,Statistics Canada,Statistics Canada,86.0
2014,2014/15,Health Canada,Health Canada,51.0
2014,2014/15,Global Affairs Canada,Global Affairs Canada,21.0
2014,2014/15,Fisheries & Oceans,Fisheries and Oceans Canada,10.0
2015,2015/16,NSERC,Natural Sciences and Engineering Research Council of Canada,1001.0
2015,2015/16,CIHR,Canadian Institutes of Health Research,999.0
2015,2015/16,National Research Council,National Research Council Canada,940.0
2015,2015/16,SSHRC,Social Sciences and Humanities Research Council of Canada,594.0
2015,2015/16,Other departments & agencies,Other departments and agencies,566.0
2015,2015/16,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,439.0
2015,2015/16,Atomic Energy of Canada,Atomic Energy of Canada Limited,389.0
2015,2015/16,CFI,Canada Foundation for Innovation,341.0
2015,2015/16,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",293.0
2015,2015/16,Canadian Space Agency,Canadian Space Agency,275.0
2015,2015/16,Natural Resources Canada,Natural Resources Canada,240.0
2015,2015/16,National Defence,National Defence,233.0
2015,2015/16,Environment & Climate Change,Environment and Climate Change Canada,125.0
2015,2015/16,Statistics Canada,Statistics Canada,112.0
2015,2015/16,Health Canada,Health Canada,50.0
2015,2015/16,Global Affairs Canada,Global Affairs Canada,23.0
2016,2016/17,NSERC,Natural Sciences and Engineering Research Council of Canada,1082.0
2016,2016/17,National Research Council,National Research Council Canada,1058.0
2016,2016/17,CIHR,Canadian Institutes of Health Research,1042.0
2016,2016/17,SSHRC,Social Sciences and Humanities Research Council of Canada,646.0
2016,2016/17,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",613.0
2016,2016/17,Other departments & agencies,Other departments and agencies,563.0
2016,2016/17,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,425.0
2016,2016/17,Atomic Energy of Canada,Atomic Energy of Canada Limited,369.0
2016,2016/17,CFI,Canada Foundation for Innovation,335.0
2016,2016/17,Natural Resources Canada,Natural Resources Canada,263.0
2016,2016/17,Canadian Space Agency,Canadian Space Agency,249.0
2016,2016/17,National Defence,National Defence,206.0
2016,2016/17,Environment & Climate Change,Environment and Climate Change Canada,136.0
2016,2016/17,Health Canada,Health Canada,47.0
2016,2016/17,Statistics Canada,Statistics Canada,39.0
2016,2016/17,Global Affairs Canada,Global Affairs Canada,19.0
2017,2017/18,NSERC,Natural Sciences and Engineering Research Council of Canada,1106.0
2017,2017/18,CIHR,Canadian Institutes of Health Research,1057.0
2017,2017/18,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",989.0
2017,2017/18,National Research Council,National Research Council Canada,964.0
2017,2017/18,SSHRC,Social Sciences and Humanities Research Council of Canada,656.0
2017,2017/18,Other departments & agencies,Other departments and agencies,578.0
2017,2017/18,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,440.0
2017,2017/18,CFI,Canada Foundation for Innovation,385.0
2017,2017/18,Natural Resources Canada,Natural Resources Canada,355.0
2017,2017/18,Atomic Energy of Canada,Atomic Energy of Canada Limited,354.0
2017,2017/18,National Defence,National Defence,315.0
2017,2017/18,Canadian Space Agency,Canadian Space Agency,195.0
2017,2017/18,Environment & Climate Change,Environment and Climate Change Canada,165.0
2017,2017/18,Health Canada,Health Canada,128.0
2017,2017/18,Statistics Canada,Statistics Canada,46.0
2017,2017/18,Global Affairs Canada,Global Affairs Canada,10.0
2018,2018/19,NSERC,Natural Sciences and Engineering Research Council of Canada,1213.0
2018,2018/19,National Research Council,National Research Council Canada,1170.0
2018,2018/19,CIHR,Canadian Institutes of Health Research,1113.0
