country_code,year,hours_per_capita,country_name
NOR,2022,755.3600879604178,Norway
NOR,2023,749.2753623188406,Norway
NOR,2024,745.6927494615937,Norway
NOR,2025,744.3394544482082,Norway
NZL,2000,52358.73871820112,New Zealand
NZL,2001,51690.19305151756,New Zealand
NZL,2002,50874.2553823311,New Zealand
NZL,2003,49825.98114722214,New Zealand
NZL,2004,49271.08763176559,New Zealand
NZL,2005,48308.37234042553,New Zealand
NZL,2006,47213.279175527045,New Zealand
NZL,2007,46209.351694982106,New Zealand
NZL,2008,45485.42074143595,New Zealand
NZL,2009,44495.1306650561,New Zealand
NZL,2010,44382.80634045486,New Zealand
NZL,2011,44491.31523151631,New Zealand
NZL,2012,44119.45405491192,New Zealand
NZL,2013,45307.51849603095,New Zealand
NZL,2014,46143.23782551939,New Zealand
NZL,2015,45954.928136313385,New Zealand
NZL,2016,47143.10187639139,New Zealand
NZL,2017,47854.5251396648,New Zealand
NZL,2018,48055.06631299734,New Zealand
NZL,2019,48225.65073241304,New Zealand
NZL,2020,46460.55997316549,New Zealand
NZL,2021,47105.675399260486,New Zealand
NZL,2022,49175.076324630165,New Zealand
NZL,2023,49103.04860456617,New Zealand
NZL,2024,47650.01096449771,New Zealand
NZL,2025,46859.717195850506,New Zealand
SWE,2000,729.8517086092716,Sweden
SWE,2001,732.5497372636075,Sweden
SWE,2002,720.0528057803792,Sweden
SWE,2003,707.5394194301026,Sweden
SWE,2004,711.1876868627343,Sweden
SWE,2005,707.8800211371757,Sweden
SWE,2006,716.082650681199,Sweden
SWE,2007,733.3054677454626,Sweden
SWE,2008,737.6124272789403,Sweden
SWE,2009,709.7850253966546,Sweden
SWE,2010,720.5227721446092,Sweden
SWE,2011,731.9588361908392,Sweden
SWE,2012,725.8534066878562,Sweden
SWE,2013,722.7295018726006,Sweden
SWE,2014,726.2986326218609,Sweden
SWE,2015,730.3021222375003,Sweden
SWE,2016,741.6465709669033,Sweden
SWE,2017,743.3168086234448,Sweden
SWE,2018,746.6344136071446,Sweden
SWE,2019,736.5944874081267,Sweden
SWE,2020,707.9790237198413,Sweden
SWE,2021,722.0535746018037,Sweden
SWE,2022,736.6479971519432,Sweden
SWE,2023,739.3488013055826,Sweden
SWE,2024,733.6992644791587,Sweden
SWE,2025,723.6971599880457,Sweden
USA,2000,925.2279493183918,United States
USA,2001,903.067923450042,United States
USA,2002,882.7482646582033,United States
USA,2003,870.102258467317,United States
USA,2004,873.6547452570618,United States
USA,2005,878.0720341846153,United States
USA,2006,884.8414165837006,United States
USA,2007,885.1718285956724,United States
USA,2008,865.9351881343521,United States
USA,2009,806.818311269713,United States
USA,2010,802.1094860709692,United States
USA,2011,809.1656926944075,United States
USA,2012,817.2040824172699,United States
USA,2013,824.4253456251718,United States
USA,2014,832.1887805036783,United States
USA,2015,840.2080018627033,United States
USA,2016,843.313792919673,United States
USA,2017,849.1001340635955,United States
USA,2018,859.76298895238,United States
USA,2019,862.5561816875306,United States
USA,2020,804.617763424153,United States
USA,2021,837.1049841730513,United States
USA,2022,857.9001046807239,United States
USA,2023,863.474414616998,United States
USA,2024,860.4356717451421,United States
USA,2025,859.0860048958824,United States
