year,geo,partner,exports_millions,share_pct
2004,British Columbia,United States,20137.357,64.943
2004,Canada,All countries,385525.865,100.0
2004,Canada,China,6156.511,1.597
2004,Canada,European Union (27 members),13614.158,3.531
2004,Canada,Japan,8410.886,2.182
2004,Canada,Mexico,2972.591,0.771
2004,Canada,Other countries,21098.713,5.473
2004,Canada,United Kingdom,7246.97,1.88
2004,Canada,United States,326026.036,84.567
2004,Manitoba,All countries,9296.934,100.0
2004,Manitoba,China,413.938,4.452
2004,Manitoba,European Union (27 members),308.765,3.321
2004,Manitoba,Japan,455.02,4.894
2004,Manitoba,Mexico,254.992,2.743
2004,Manitoba,Other countries,943.104,10.144
2004,Manitoba,United Kingdom,62.6,0.673
2004,Manitoba,United States,6858.516,73.772
2004,New Brunswick,All countries,9437.736,100.0
2004,New Brunswick,China,21.374,0.226
2004,New Brunswick,European Union (27 members),282.247,2.991
2004,New Brunswick,Japan,130.637,1.384
2004,New Brunswick,Mexico,15.698,0.166
2004,New Brunswick,Other countries,442.278,4.686
2004,New Brunswick,United Kingdom,63.724,0.675
2004,New Brunswick,United States,8481.779,89.871
2004,Newfoundland and Labrador,All countries,7099.875,100.0
2004,Newfoundland and Labrador,China,286.299,4.032
2004,Newfoundland and Labrador,European Union (27 members),798.038,11.24
2004,Newfoundland and Labrador,Japan,84.594,1.191
2004,Newfoundland and Labrador,Mexico,0.041,0.001
2004,Newfoundland and Labrador,Other countries,413.203,5.82
